年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,5,2,0,8,0,8,0,0,4,4,0,0,0,0,8,8,0,12,4,4,,0
2018,2,5,3,0,0,0,0,0,0,4,0,0,4,0,0,4,4,0,8,4,0,,4
2018,2,5,4,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,,16
2018,2,5,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,,4
2018,2,5,6,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,16,4,0,,8
2018,2,5,7,0,8,4,0,0,0,0,0,0,0,0,0,0,4,0,20,4,8,,16
2018,2,5,8,8,12,4,16,4,0,4,12,12,4,8,0,0,8,8,16,8,0,,20
2018,2,5,9,0,8,8,4,0,8,4,4,0,8,4,0,8,12,0,12,12,12,12,8
2018,2,5,10,4,0,4,4,4,0,16,8,0,4,0,4,12,8,0,16,24,8,,20
2018,2,5,11,0,16,4,4,4,0,4,45,0,4,12,4,4,0,8,12,4,0,12,12
2018,2,5,12,0,16,12,8,0,0,0,8,0,8,12,4,0,12,0,12,4,0,16,0
2018,2,5,13,0,4,4,4,0,0,0,4,0,8,0,0,4,0,0,4,4,0,4,4
2018,2,5,14,0,8,12,12,8,4,4,0,4,0,8,0,0,4,0,0,12,4,4,0
2018,2,5,15,0,0,4,32,4,8,12,4,0,4,0,0,0,12,0,0,4,0,20,8
2018,2,5,16,0,8,16,16,0,8,8,0,4,12,16,4,0,8,0,4,0,4,4,0
2018,2,5,17,0,16,12,12,4,12,12,0,4,4,24,0,0,4,4,8,16,0,4,0
2018,2,5,18,0,8,0,4,4,0,8,4,0,8,32,8,4,12,4,32,4,4,,8
2018,2,5,19,16,8,8,0,4,8,8,8,0,4,16,0,4,8,0,16,12,0,,12
2018,2,5,20,4,0,0,4,12,8,0,4,4,16,12,4,4,12,0,12,0,0,,12
2018,2,5,21,4,0,0,0,4,12,0,12,4,0,12,20,0,4,0,8,0,8,,0
2018,2,5,22,4,0,4,4,8,12,0,12,4,0,16,0,4,4,0,16,4,4,,0
2018,2,5,23,28,12,41,24,20,0,4,0,0,4,0,8,8,0,0,0,0,4,,0
2018,2,5,24,12,4,4,0,0,0,0,0,0,0,4,4,8,8,0,0,0,0,,4
2018,2,6,1,0,0,4,0,0,4,0,0,12,4,0,4,8,4,4,8,4,8,,4
2018,2,6,2,0,8,12,0,0,0,0,4,4,0,0,0,0,4,0,4,0,4,,0
2018,2,6,3,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,8,0,16,,4
2018,2,6,4,0,4,4,0,0,4,0,8,4,0,0,4,0,4,0,4,8,12,,0
2018,2,6,5,0,4,8,4,0,0,0,8,4,0,4,0,4,4,0,0,8,0,,4
2018,2,6,6,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,12,4,4,,0
2018,2,6,7,0,8,12,0,0,0,0,0,0,4,0,4,4,0,0,0,4,4,,12
2018,2,6,8,0,20,8,0,0,0,0,4,8,4,4,0,0,0,0,12,4,12,,8
2018,2,6,9,0,16,8,16,0,16,0,4,4,8,8,12,8,8,0,0,0,4,8,12
2018,2,6,10,0,20,12,8,4,0,4,0,4,8,0,4,4,0,0,4,0,4,0,16
2018,2,6,11,0,8,8,8,4,0,8,0,4,0,4,0,0,4,0,4,4,4,4,8
2018,2,6,12,0,4,4,0,0,0,0,8,4,0,0,0,8,4,0,4,4,0,0,4
2018,2,6,13,4,4,8,0,0,4,4,4,0,4,4,12,0,4,0,8,4,4,8,4
2018,2,6,14,0,12,28,16,0,4,4,0,4,4,4,8,4,4,0,8,8,0,0,4
2018,2,6,15,0,0,24,8,4,4,0,8,0,4,8,4,0,12,0,0,0,16,4,4
2018,2,6,16,0,4,28,4,4,0,4,4,0,8,0,0,12,8,0,8,8,8,8,4
2018,2,6,17,0,12,8,16,0,16,0,12,4,0,0,0,8,12,8,0,12,8,0,8
2018,2,6,18,4,20,4,32,8,0,8,12,4,16,4,8,16,16,8,0,12,4,,4
2018,2,6,19,16,57,4,4,0,4,8,4,4,8,0,8,20,49,0,8,8,4,,12
2018,2,6,20,20,32,4,12,0,4,4,4,16,8,8,8,8,28,0,20,0,4,,16
2018,2,6,21,4,20,12,12,0,0,4,8,0,4,8,8,12,12,4,12,0,12,,12
2018,2,6,22,0,20,0,16,0,0,4,0,8,4,8,4,4,12,4,4,0,0,,8
2018,2,6,23,12,0,16,8,0,4,4,0,0,8,4,16,4,16,4,12,8,0,,12
2018,2,6,24,0,12,0,0,4,4,0,0,8,0,0,0,0,4,4,12,0,0,,0
2018,2,7,1,4,4,16,8,0,0,0,0,4,8,0,0,4,0,0,16,4,4,,16
2018,2,7,2,0,4,16,4,8,0,4,0,0,0,0,0,4,4,0,0,0,0,,4
2018,2,7,3,8,0,4,4,0,0,0,4,0,0,4,4,4,8,0,4,0,0,,0
2018,2,7,4,0,0,4,8,4,0,0,0,0,0,0,4,8,4,0,8,0,0,,0
2018,2,7,5,0,0,0,4,0,4,0,0,0,0,0,0,8,8,0,8,0,0,,0
2018,2,7,6,0,8,16,4,0,4,0,0,8,0,4,0,4,0,0,16,0,4,,0
2018,2,7,7,4,20,12,0,0,4,0,12,0,4,8,0,8,0,0,12,0,0,,0
2018,2,7,8,4,8,12,12,4,0,0,4,4,4,8,8,16,8,0,4,4,4,,4
