年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,旧笠間支所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2016,2,5,23,4,0,0,0,4,4,8,4,16,8,16,0,8,4,4,8,8,4,8,4
2016,2,5,24,0,4,0,16,0,0,4,8,20,0,12,0,4,4,0,8,0,8,4,0
2016,2,6,1,4,0,0,4,4,77,4,0,8,0,8,0,4,0,0,0,0,0,0,0
2016,2,6,2,4,0,0,12,0,151,8,4,12,4,0,0,8,4,0,4,0,4,8,12
2016,2,6,3,4,0,0,4,12,106,16,0,4,0,4,4,4,0,8,0,0,0,0,4
2016,2,6,4,4,8,0,8,8,12,16,0,4,4,4,0,8,0,0,4,0,4,16,0
2016,2,6,5,8,4,0,4,-9998,36,20,0,4,8,0,0,0,12,0,4,0,4,8,4
2016,2,6,6,8,8,0,0,0,12,12,0,4,0,0,0,4,8,0,8,4,4,8,0
2016,2,6,7,0,0,0,0,0,8,4,0,0,8,4,0,8,4,4,4,0,0,12,4
2016,2,6,8,0,4,0,0,4,4,4,0,8,12,28,4,4,16,0,0,8,4,4,4
2016,2,6,9,8,0,4,0,4,0,20,0,4,12,0,0,12,8,0,4,8,8,73,4
2016,2,6,10,0,12,0,4,0,0,12,4,8,8,8,16,8,12,4,8,12,8,90,4
2016,2,6,11,24,0,8,8,0,0,0,0,8,12,4,20,0,49,12,20,0,4,61,4
2016,2,6,12,4,4,0,8,4,0,12,12,12,4,8,16,12,24,4,12,16,4,57,8
2016,2,6,13,4,0,4,4,0,4,12,0,28,4,12,8,16,4,8,8,12,12,69,0
2016,2,6,14,8,12,8,4,12,0,32,0,20,16,0,12,16,4,4,12,4,4,65,12
2016,2,6,15,4,4,0,4,12,4,45,0,16,4,8,0,12,0,0,0,8,0,32,16
2016,2,6,16,0,4,4,16,4,0,12,0,24,4,12,4,4,8,4,8,28,8,32,12
2016,2,6,17,4,4,8,4,8,8,20,,12,28,12,0,8,12,0,20,41,8,45,4
2016,2,6,18,4,8,8,0,8,4,8,0,4,4,20,0,4,0,0,0,12,0,0,20
2016,2,6,19,8,0,0,0,-9998,0,24,4,4,0,24,0,4,0,4,0,4,0,4,8
2016,2,6,20,4,4,0,0,0,4,8,0,0,4,4,4,0,0,0,0,8,4,8,4
2016,2,6,21,8,0,0,-9998,45,0,4,0,4,0,0,0,8,4,0,0,0,0,0,0
2016,2,6,22,0,8,4,4,0,0,4,,0,-9998,-9998,0,8,0,0,0,0,0,24,0
2016,2,6,23,0,0,-9998,0,4,0,0,,-9998,-9998,-9998,4,12,0,0,0,-9998,8,36,24
2016,2,6,24,0,4,-9998,0,0,0,0,0,4,-9998,-9998,0,0,0,0,-9998,-9998,12,36,4
2016,2,7,1,0,0,4,4,0,0,0,0,-9998,-9998,-9998,0,41,8,8,4,-9998,4,65,0
2016,2,7,2,4,0,0,0,0,0,0,0,-9998,-9998,4,4,4,0,0,-9998,-9998,0,36,0
2016,2,7,3,12,0,4,4,4,0,4,0,0,4,0,4,0,4,4,0,-9998,0,8,0
2016,2,7,4,4,0,0,4,4,0,0,4,0,4,0,24,0,4,4,0,24,0,0,0
2016,2,7,5,4,0,0,4,4,0,0,4,0,0,0,4,16,4,0,0,0,0,16,0
2016,2,7,6,0,0,8,4,12,0,4,,0,0,4,0,0,8,0,0,0,0,12,0
2016,2,7,7,4,8,0,0,8,0,0,,8,-9998,0,8,4,8,0,0,0,0,69,0
2016,2,7,8,4,0,0,0,0,0,45,4,4,0,8,8,12,12,0,4,0,8,16,0
2016,2,7,9,4,0,0,0,8,4,49,0,0,0,0,8,8,8,16,0,0,0,77,0
2016,2,7,10,4,4,12,0,20,0,12,4,4,12,0,4,8,8,4,8,8,8,606,16
2016,2,7,11,8,0,4,8,8,8,12,4,0,8,20,8,4,0,16,0,0,0,122,4
2016,2,7,12,,,,,,0,,,,8,,,12,,,,,0,69,
2016,2,7,13,,,,,,,,,,,,,,,,,,,,
2016,2,7,14,,,,,,,,,,,,,,,,,,,,
2016,2,7,15,,,,,,,,,,,,,,,,,,,,
2016,2,7,16,,,,,,,,,,,,,,,,,,,,
