年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,4,15,16,24,16,41,0,0,0,12,12,0,12,8,16,53,8,20,4,36,4,0
2017,2,4,16,16,20,28,41,0,8,0,0,41,0,12,0,8,28,0,4,20,4,0,4
2017,2,4,17,0,24,36,8,0,4,8,20,65,4,12,8,20,8,12,32,8,4,16,8
2017,2,4,18,16,41,32,4,12,0,8,20,69,36,4,12,8,36,41,24,4,20,20,4
2017,2,4,19,20,57,16,20,4,0,0,20,49,32,0,12,0,16,16,32,0,0,16,0
2017,2,4,20,36,12,16,8,0,0,12,8,24,12,12,12,12,8,4,24,0,8,8,0
2017,2,4,21,24,24,4,8,4,0,4,20,12,4,0,4,4,4,4,4,0,0,12,0
2017,2,4,22,12,8,16,0,16,0,0,20,32,0,8,4,0,0,0,8,4,8,8,4
2017,2,4,23,16,0,12,20,16,0,8,8,24,0,8,4,0,0,0,8,4,12,4,16
2017,2,4,24,8,20,45,4,4,0,16,28,24,0,4,0,4,0,0,16,0,0,8,12
2017,2,5,1,8,4,16,8,8,0,4,4,20,0,0,8,0,8,0,8,4,12,8,0
2017,2,5,2,0,16,0,28,8,0,8,16,4,8,0,4,0,0,0,4,0,0,0,8
2017,2,5,3,8,8,8,4,4,0,0,8,28,0,4,4,4,0,4,0,0,4,0,4
2017,2,5,4,0,4,0,16,4,0,24,4,16,0,12,12,8,4,0,12,4,8,12,0
2017,2,5,5,0,4,4,12,8,0,16,20,8,0,4,4,8,0,4,8,4,12,4,16
2017,2,5,6,4,4,4,20,0,0,0,4,4,4,0,4,28,4,0,12,0,4,0,0
2017,2,5,7,4,4,12,16,8,0,0,0,4,0,16,0,16,0,0,8,4,4,0,8
2017,2,5,8,4,8,0,16,4,0,4,24,8,0,0,0,4,16,4,4,0,12,16,0
2017,2,5,9,16,8,4,12,12,0,12,12,28,4,0,8,8,16,12,8,0,12,12,12
2017,2,5,10,4,0,16,16,16,0,12,12,4,8,8,8,4,36,0,24,8,4,4,8
