年,月,日,時,水戸,つくば,笠間,宇都宮,栃木林業,日光,前橋,子持,さいたま,飯能,寄居,船橋,市原,山武,君津,小平,高尾,横浜,川崎,厚木
2014,2,4,23,4,20,4,86,151,4,4,4,0,122,12,0,4,0,0,0,0,0,16,4
2014,2,4,24,20,16,4,4,4,0,12,28,12,20,4,4,0,16,4,4,0,0,16,4
2014,2,5,1,20,16,8,12,4,8,8,114,0,12,0,0,4,86,4,8,0,4,20,4
2014,2,5,2,12,8,4,4,0,41,8,65,20,0,4,0,4,16,4,16,0,0,8,0
2014,2,5,3,4,4,0,0,0,94,4,53,12,0,4,4,0,8,12,4,0,4,8,0
2014,2,5,4,8,8,0,4,0,114,16,86,0,0,0,4,0,8,4,4,0,4,4,0
2014,2,5,5,8,8,0,12,4,159,0,49,0,0,0,0,0,0,16,0,0,0,12,4
2014,2,5,6,8,8,8,0,4,164,12,311,8,8,4,4,12,0,0,16,0,0,4,0
2014,2,5,7,24,12,0,28,4,106,41,356,8,8,0,0,8,0,16,4,0,4,20,12
2014,2,5,8,24,16,8,8,16,270,4,291,8,57,0,8,41,131,32,4,8,0,32,28
2014,2,5,9,32,49,16,28,16,155,16,53,20,4,0,0,8,176,24,4,8,0,69,8
2014,2,5,10,28,41,82,28,12,98,12,4,4,12,0,4,4,155,24,8,16,8,32,0
2014,2,5,11,16,16,94,0,0,45,61,8,4,0,0,12,12,77,4,0,12,12,32,20
2014,2,5,12,45,20,131,16,24,41,41,4,12,12,12,4,8,94,4,8,12,0,41,20
2014,2,5,13,41,16,12,20,8,82,28,4,12,16,8,0,12,82,4,4,4,8,16,61
2014,2,5,14,20,8,20,20,28,73,45,32,16,12,12,0,8,65,16,16,16,4,41,8
2014,2,5,15,20,24,24,16,8,69,36,4,24,20,8,0,12,28,4,0,12,4,20,16
2014,2,5,16,20,16,28,8,12,4,106,12,41,16,0,0,16,61,16,16,20,8,36,12
2014,2,5,17,12,4,82,16,12,8,90,4,4,8,4,8,24,45,20,16,20,0,45,28
2014,2,5,18,12,12,90,4,16,20,86,12,16,24,20,8,41,32,24,4,20,8,24,12
2014,2,5,19,32,28,82,4,4,4,32,0,24,16,16,12,8,36,36,16,12,8,28,32
2014,2,5,20,65,20,82,12,16,8,65,0,16,32,0,0,12,12,28,20,24,4,20,49
2014,2,5,21,32,28,32,24,8,12,53,8,12,0,4,16,4,12,24,4,0,0,32,12
2014,2,5,22,4,8,20,16,8,0,20,8,8,0,0,4,4,0,12,0,4,8,28,24
2014,2,5,23,28,20,8,12,0,0,8,4,16,0,0,0,8,8,24,0,0,4,16,4
2014,2,5,24,16,4,12,8,16,0,8,0,8,4,16,4,4,16,20,0,0,0,8,12
2014,2,6,1,8,20,0,12,8,0,4,0,4,8,0,0,12,4,16,0,0,4,4,12
2014,2,6,2,4,4,8,4,0,0,4,0,8,0,4,4,4,12,0,0,0,0,4,0
2014,2,6,3,4,4,4,8,4,0,8,0,0,0,8,0,0,4,8,4,0,8,8,8
2014,2,6,4,4,4,0,20,4,0,0,4,0,4,0,0,0,16,8,0,0,0,20,0
2014,2,6,5,4,12,0,8,4,0,4,0,0,24,0,4,0,16,4,4,0,0,8,4
2014,2,6,6,8,8,12,8,12,4,4,0,4,12,8,8,4,0,12,8,0,0,0,8
2014,2,6,7,16,8,45,28,8,0,0,0,4,0,0,0,12,20,8,0,0,8,8,4
2014,2,6,8,41,24,57,12,12,0,16,4,4,0,4,0,8,4,24,8,4,0,8,16
2014,2,6,9,20,20,24,45,16,4,28,0,12,12,0,24,12,32,24,12,8,8,20,12
2014,2,6,10,41,12,20,28,12,0,16,4,8,12,4,4,4,8,16,0,4,0,28,4
2014,2,6,11,12,8,24,4,4,4,61,12,16,8,8,32,4,8,16,8,0,12,24,12
2014,2,6,12,,,36,,12,,45,,8,,,,12,,,,,,,
2014,2,6,13,,,,,,,,0,,,,,,,,,,,,
2014,2,6,14,16,20,4,8,4,,45,8,0,16,8,4,4,20,16,4,12,8,32,0
2014,2,6,15,32,8,90,4,12,,41,0,8,8,12,24,12,16,16,8,8,8,32,0
2014,2,6,16,28,16,20,16,16,,41,0,8,20,0,12,16,20,32,8,8,0,24,0
2014,2,6,17,20,36,24,20,45,,36,0,20,49,4,36,36,32,41,12,4,4,24,0
2014,2,6,18,32,20,32,24,4,,45,0,32,24,16,16,8,28,45,8,16,0,45,0
2014,2,6,19,28,28,4,28,16,,8,0,24,20,12,49,20,0,45,0,16,8,32,8
2014,2,6,20,20,8,73,24,4,,0,0,8,0,0,36,16,32,36,4,16,0,4,12
2014,2,6,21,16,0,24,20,0,,20,0,28,8,0,20,16,20,45,12,0,4,24,8
2014,2,6,22,8,4,28,12,4,,0,0,8,0,4,8,8,8,28,4,8,4,12,0
2014,2,6,23,8,16,12,16,4,,0,0,4,4,8,20,4,16,36,4,4,4,8,8
2014,2,6,24,8,4,24,8,4,,0,0,0,4,4,4,8,12,4,0,0,0,8,0
2014,2,7,1,0,4,4,8,8,,0,4,4,8,0,12,4,8,0,0,0,0,16,4
2014,2,7,2,4,4,8,8,4,,4,0,0,4,0,16,0,12,0,0,0,4,20,0
2014,2,7,3,0,4,0,8,0,,0,8,4,8,0,4,8,8,4,4,4,0,0,4
2014,2,7,4,4,16,16,0,0,,0,4,8,0,16,4,12,4,4,4,4,0,4,0
2014,2,7,5,12,8,8,12,4,,4,4,16,0,0,16,8,4,0,4,0,8,8,4
2014,2,7,6,8,12,0,8,0,,4,0,12,0,0,0,0,0,8,0,4,0,4,4
2014,2,7,7,12,8,8,4,0,,0,0,16,0,0,0,8,4,16,4,0,0,0,4
2014,2,7,8,49,8,4,8,4,,0,4,32,12,0,12,12,4,32,4,0,0,4,8
2014,2,7,9,12,28,24,20,16,,0,8,12,16,4,8,4,12,8,4,0,16,8,16
2014,2,7,10,20,16,32,28,4,,45,12,12,8,0,4,4,4,0,8,0,16,24,4
2014,2,7,11,24,12,65,4,8,,57,8,32,8,4,4,16,24,8,0,12,16,24,12
2014,2,7,12,45,16,36,12,12,,45,12,16,4,28,8,12,32,20,0,4,12,36,4
2014,2,7,13,98,0,28,4,8,,61,12,28,0,4,0,0,8,4,8,12,8,24,0
2014,2,7,14,32,16,32,20,8,,28,4,28,16,4,8,4,24,4,4,8,8,41,12
2014,2,7,15,28,12,8,12,20,,24,8,16,12,8,16,20,24,12,4,8,49,36,0
2014,2,7,16,8,12,32,8,16,,16,0,16,16,0,20,24,28,20,0,8,8,28,12
2014,2,7,17,16,32,73,4,8,,12,0,32,20,4,16,8,20,16,4,28,4,28,12
2014,2,7,18,65,24,57,12,12,,8,0,28,32,16,4,28,4,41,16,0,4,36,4
2014,2,7,19,114,20,28,36,24,,32,4,45,45,20,4,16,12,20,20,4,16,12,8
2014,2,7,20,32,12,20,28,16,,49,0,61,24,0,12,16,12,32,20,8,12,12,8
2014,2,7,21,0,24,8,28,16,,8,0,28,12,4,8,0,16,8,20,8,0,20,4
2014,2,7,22,16,12,24,4,4,,8,0,36,12,20,4,4,4,16,16,8,4,16,20
2014,2,7,23,24,4,4,4,4,,20,0,45,20,8,4,0,12,16,20,4,4,20,12
2014,2,7,24,0,0,16,0,8,,36,0,20,4,8,20,12,0,4,28,8,8,8,16
2014,2,8,1,0,4,12,12,8,,8,0,4,24,4,0,4,12,8,12,12,4,4,12
2014,2,8,2,4,0,8,4,8,,12,16,12,4,4,0,0,4,4,4,16,16,12,24
2014,2,8,3,0,0,4,0,12,,36,4,57,-9998,-9998,-9998,4,,36,-9998,-9998,28,-9998,-9998
2014,2,8,4,0,229,8,16,57,,127,73,-9998,-9998,-9998,-9998,8,-9998,90,-9998,-9998,32,-9998,-9998
2014,2,8,5,0,-9998,0,-9998,-9998,,-9998,20,-9998,-9998,-9998,-9998,24,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,6,-9998,-9998,-9998,-9998,-9998,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,7,-9998,-9998,-9998,-9998,-9998,,139,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,8,-9998,-9998,-9998,-9998,-9998,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,16,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,9,-9998,-9998,-9998,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,10,-9998,-9998,-9998,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,11,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,12,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,13,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,14,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,15,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,8,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,16,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,17,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,18,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,19,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,,-9998,-9998,-9998,-9998,-9998
2014,2,8,20,-9998,-9998,,-9998,-9998,,,0,-9998,-9998,-9998,-9998,-9998,0,,-9998,-9998,-9998,-9998,-9998
2014,2,8,21,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2014,2,8,22,-9998,-9998,,-9998,-9998,,,-9998,-9998,0,-9998,-9998,-9998,-9998,4,-9998,-9998,0,0,-9998
2014,2,8,23,-9998,-9998,,-9998,-9998,,,-9998,-9998,-9998,-9998,-9998,-9998,-9998,8,-9998,0,-9998,12,0
2014,2,8,24,-9998,-9998,,-9998,-9998,,,0,-9998,4,86,-9998,-9998,-9998,-9998,-9998,0,0,4,0
2014,2,9,1,-9998,-9998,,-9998,-9998,,,0,8,-9998,0,-9998,-9998,-9998,8,0,-9998,-9998,0,-9998
2014,2,9,2,-9998,-9998,,-9998,-9998,,,0,0,0,0,-9998,-9998,-9998,4,0,0,-9998,0,-9998
2014,2,9,3,-9998,-9998,,-9998,-9998,,,0,0,0,0,-9998,-9998,-9998,0,0,0,4,0,0
2014,2,9,4,-9998,4,,-9998,204,,,0,0,0,0,12,0,-9998,0,-9998,0,0,0,0
2014,2,9,5,12,0,,0,4,,,0,0,4,0,12,0,12,0,0,0,0,4,0
2014,2,9,6,8,4,,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,9,7,4,8,,0,8,,,0,0,0,4,0,4,4,4,0,0,0,0,0
2014,2,9,8,0,-9998,,4,8,,,0,0,4,0,0,0,4,4,8,0,0,0,0
2014,2,9,9,8,4,,4,8,,,0,0,4,0,0,0,0,0,4,0,0,4,0
2014,2,9,10,4,8,,16,0,,,0,8,20,4,0,4,4,0,0,4,16,0,8
2014,2,9,11,8,0,,0,0,,,4,0,8,0,8,8,12,0,0,4,4,12,0
2014,2,9,12,8,8,,8,4,,,0,8,4,4,0,0,20,0,4,0,12,20,4
2014,2,9,13,4,16,,12,0,,,0,0,0,8,0,0,0,4,0,0,8,12,4
2014,2,9,14,4,16,,12,0,,,0,0,0,8,0,0,12,4,4,0,4,16,0
2014,2,9,15,8,0,,0,4,,,0,4,0,0,8,4,12,0,4,4,0,0,4
2014,2,9,16,12,16,,0,4,,,8,8,0,0,0,8,8,12,4,4,4,12,4
2014,2,9,17,4,4,,4,4,,,0,0,0,4,0,0,16,4,4,0,4,4,4
2014,2,9,18,36,4,,4,12,,,24,0,4,0,12,12,8,12,0,4,0,8,0
2014,2,9,19,4,0,,12,0,,,0,0,0,4,8,0,4,0,0,0,4,4,0
2014,2,9,20,12,12,,8,8,,,8,4,4,0,12,0,0,0,0,0,4,4,0
2014,2,9,21,4,4,,8,0,,,28,0,12,4,0,4,0,4,0,0,0,8,0
