年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,新宿区役所第二分庁舎,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2019,2,6,2,0,4,12,0,8,4,8,8,0,0,0,0,4,12,0,4,8,4,0,8
2019,2,6,3,4,0,8,0,12,0,0,4,0,0,0,4,4,0,0,0,4,8,4,0
2019,2,6,4,0,0,0,0,16,4,4,4,0,0,0,12,0,8,0,0,12,8,0,4
2019,2,6,5,4,4,0,4,12,0,8,0,0,0,4,0,8,4,0,0,12,0,0,20
2019,2,6,6,0,16,12,4,4,0,4,4,0,0,4,0,0,0,0,0,0,8,8,8
2019,2,6,7,4,12,0,4,0,4,0,0,0,0,0,0,0,12,4,0,12,0,4,0
2019,2,6,8,0,4,20,8,28,4,0,0,0,0,8,0,0,4,4,0,0,0,0,4
2019,2,6,9,8,8,24,0,28,12,0,16,4,20,4,0,4,4,4,0,4,4,0,0
2019,2,6,10,8,0,32,0,4,0,0,8,4,4,0,0,4,4,4,0,8,0,0,0
2019,2,6,11,8,0,0,4,8,0,12,16,0,0,0,0,4,0,8,4,4,4,0,0
2019,2,6,12,4,12,4,0,12,0,0,8,4,4,4,0,4,0,0,8,0,0,0,8
2019,2,6,13,0,4,4,0,12,0,0,28,4,0,12,0,0,8,0,0,0,0,0,0
2019,2,6,14,0,8,0,0,4,0,4,12,0,8,32,0,4,0,0,0,0,0,4,0
2019,2,6,15,0,16,0,0,0,4,12,12,0,8,65,0,12,0,0,8,4,4,0,4
2019,2,6,16,0,0,0,4,4,0,24,24,0,0,12,4,0,12,0,0,4,4,0,0
2019,2,6,17,4,0,0,0,16,4,32,16,0,8,12,0,4,0,0,0,4,0,0,4
2019,2,6,18,4,12,0,8,4,4,57,28,4,8,8,0,0,4,4,0,0,4,0,4
2019,2,6,19,0,4,4,0,0,0,36,24,4,0,4,0,8,0,4,0,0,0,0,4
2019,2,6,20,0,8,8,0,0,0,4,28,8,0,12,4,8,16,8,0,4,4,0,4
2019,2,6,21,0,4,8,8,0,0,4,0,0,0,8,4,0,4,0,0,4,12,0,12
2019,2,6,22,8,0,8,8,4,0,0,8,0,0,8,4,0,0,0,0,4,16,0,0
2019,2,6,23,0,12,16,8,4,0,0,12,4,4,0,0,8,0,0,0,12,8,0,0
2019,2,6,24,8,4,16,0,4,0,0,8,8,0,8,0,8,4,0,0,8,4,0,0
2019,2,7,1,4,4,16,0,4,0,4,4,4,0,0,4,0,8,0,0,4,4,0,0
2019,2,7,2,0,0,0,0,0,0,4,8,4,0,0,4,0,0,0,0,4,8,4,0
2019,2,7,3,0,0,4,4,0,0,12,4,0,0,8,0,4,4,0,0,0,4,0,0
2019,2,7,4,0,4,4,4,0,0,12,0,4,0,0,0,0,4,8,0,8,0,0,0
2019,2,7,5,0,8,4,0,4,0,12,0,0,0,4,0,0,0,0,0,0,8,0,8
2019,2,7,6,0,4,4,4,4,12,4,0,0,0,12,4,0,4,0,0,4,0,0,0
2019,2,7,7,4,4,0,0,4,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
2019,2,7,8,0,0,4,4,4,8,20,36,4,8,4,0,0,4,0,8,0,0,0,8
2019,2,7,9,0,4,16,8,24,4,24,28,8,16,4,4,4,0,0,4,4,16,8,8
2019,2,7,10,4,12,4,4,0,4,12,20,8,20,24,4,16,24,8,4,16,16,0,32
2019,2,7,11,0,12,4,32,4,4,36,24,8,4,32,0,16,28,20,0,4,20,0,20
2019,2,7,12,4,12,16,4,0,4,36,28,4,8,12,8,0,16,24,4,36,4,4,8
2019,2,7,13,12,4,4,12,4,0,12,16,4,8,8,12,12,24,0,4,49,12,4,12
2019,2,7,14,8,8,8,4,0,8,12,8,12,4,0,12,12,53,0,0,41,8,0,0
2019,2,7,15,4,20,4,4,0,4,53,4,36,4,4,4,4,41,4,4,45,16,4,0
2019,2,7,16,16,8,28,12,0,8,20,12,24,4,4,4,4,28,4,16,8,0,0,0
2019,2,7,17,8,8,24,8,4,8,4,24,20,12,12,0,4,16,0,8,41,12,0,8
2019,2,7,18,16,8,32,49,8,4,8,32,24,12,8,0,4,16,4,12,36,12,0,20
2019,2,7,19,28,12,12,32,12,4,8,41,8,20,20,0,4,12,0,4,20,8,4,0
2019,2,7,20,28,20,16,4,12,12,20,28,12,8,12,0,0,4,0,0,24,8,0,0
2019,2,7,21,12,16,16,24,16,4,4,0,0,4,12,4,4,16,0,8,8,0,0,0
2019,2,7,22,16,16,4,0,0,8,41,16,4,4,16,4,12,20,4,0,8,4,0,0
2019,2,7,23,8,16,24,4,4,0,188,12,8,4,20,0,0,32,16,0,16,8,0,4
2019,2,7,24,0,12,45,4,4,4,233,20,4,12,8,4,0,16,16,0,36,8,0,8
2019,2,8,1,8,4,12,16,0,12,41,12,8,0,24,4,8,16,12,20,36,8,12,8
2019,2,8,2,0,4,4,28,8,0,41,12,4,4,4,8,12,0,82,8,41,41,12,8
2019,2,8,3,12,0,4,16,8,0,32,4,4,20,8,0,0,8,77,4,28,32,8,12
2019,2,8,4,8,8,20,4,4,4,20,0,8,8,0,4,8,8,28,4,24,8,4,32
2019,2,8,5,0,8,16,4,0,0,32,0,4,16,0,0,12,0,36,0,20,0,0,24
2019,2,8,6,8,4,4,20,20,0,20,8,0,16,0,8,8,0,16,0,16,4,0,16
2019,2,8,7,4,4,4,12,4,4,57,4,0,4,4,12,12,28,28,0,4,8,0,4
2019,2,8,8,0,12,4,4,16,4,77,8,0,16,4,4,8,32,28,0,20,12,4,8
2019,2,8,9,0,16,8,8,16,0,28,8,0,16,0,4,16,20,53,8,36,8,0,20
2019,2,8,10,16,8,16,16,12,4,32,24,8,24,8,8,36,12,8,0,20,16,0,4
2019,2,8,11,0,12,41,4,16,0,32,16,0,8,0,8,28,4,32,4,16,4,0,12
2019,2,8,12,0,4,20,12,12,12,20,28,8,20,4,8,8,8,12,8,8,12,0,8
2019,2,8,13,0,20,24,12,0,0,69,8,0,20,0,8,16,28,4,0,12,36,8,20
2019,2,8,14,4,24,4,16,8,12,20,12,8,8,0,4,8,28,16,0,16,32,8,24
2019,2,8,15,28,4,0,12,4,0,8,4,4,0,4,16,4,45,8,0,32,20,4,16
2019,2,8,16,4,8,16,4,0,0,36,0,4,12,8,8,12,8,12,0,41,20,4,12
2019,2,8,17,8,41,0,16,12,0,28,4,4,12,0,8,20,20,8,0,16,16,0,12
2019,2,8,18,8,32,16,12,8,4,24,4,0,8,0,0,4,45,24,4,8,24,0,24
2019,2,8,19,8,28,12,8,4,8,36,0,0,0,4,8,12,41,20,0,0,20,0,0
2019,2,8,20,0,24,8,12,0,0,8,8,4,8,8,0,0,53,20,0,16,8,0,20
2019,2,8,21,0,24,4,8,0,4,12,12,8,4,4,4,8,32,4,0,8,8,0,0
2019,2,8,22,12,24,16,0,0,4,12,8,4,4,0,8,12,32,0,0,16,4,4,0
2019,2,8,23,0,12,0,4,0,4,4,4,0,0,0,4,8,28,16,0,4,8,0,8
2019,2,8,24,0,20,12,4,4,0,0,4,0,4,0,4,8,8,0,0,12,0,0,4
2019,2,9,1,0,8,16,0,0,0,0,4,8,8,4,4,4,8,20,0,8,4,0,0
2019,2,9,2,0,4,20,4,0,0,0,0,4,4,8,0,12,8,8,0,8,0,0,12
2019,2,9,3,0,8,41,0,8,4,8,4,0,0,0,16,0,12,4,0,0,8,0,8
2019,2,9,4,28,4,28,0,0,4,4,12,4,0,8,4,8,106,8,0,8,12,4,0
2019,2,9,5,57,127,20,4,0,0,0,8,0,0,8,41,20,750,86,0,24,20,0,4
2019,2,9,6,53,131,32,0,4,4,4,4,8,0,0,-9998,-9998,-9998,356,0,172,-9998,-9998,4
2019,2,9,7,4,77,32,0,0,0,28,8,102,24,0,69,-9998,-9998,-9998,12,-9998,32,-9998,110
2019,2,9,8,4,106,24,32,12,12,8,49,168,12,8,-9998,-9998,-9998,-9998,217,192,4,-9998,32
2019,2,9,9,4,-9998,127,36,65,36,28,53,-9998,41,16,-9998,-9998,-9998,-9998,237,8,0,0,0
2019,2,9,10,12,-9998,82,8,-9998,57,49,106,24,32,635,-9998,-9998,-9998,-9998,16,12,32,4,4
2019,2,9,11,8,-9998,4,323,-9998,20,61,455,307,32,910,-9998,-9998,-9998,-9998,49,-9998,-9998,-9998,28
2019,2,9,12,36,-9998,24,49,114,12,110,1783,45,12,196,-9998,-9998,-9998,61,0,-9998,0,0,4
2019,2,9,13,45,0,504,12,36,24,65,569,24,57,32,4,0,-9998,0,8,8,0,0,0
2019,2,9,14,4,0,676,8,4,8,20,45,16,8,20,0,0,131,8,12,0,4,4,4
2019,2,9,15,0,0,729,4,8,20,45,12,4,16,0,0,0,12,0,20,8,8,0,127
2019,2,9,16,0,8,-9998,8,49,41,36,16,0,12,36,0,0,8,0,20,32,73,0,340
2019,2,9,17,32,16,250,475,-9998,-9998,106,225,69,-9998,303,28,20,86,-9998,-9998,233,-9998,-9998,-9998
2019,2,9,18,127,12,373,-9998,69,16,12,586,172,98,328,-9998,-9998,20,49,332,151,-9998,4,4
2019,2,9,19,86,0,110,4,69,-9998,12,82,196,86,250,12,0,49,0,442,102,4,0,0
2019,2,9,20,49,57,168,139,151,-9998,16,12,-9998,221,32,32,-9998,36,0,-9998,114,0,0,0
2019,2,9,21,24,32,16,656,-9998,-9998,12,0,188,86,4,24,16,41,0,262,-9998,0,0,0
2019,2,9,22,-9998,49,-9998,549,266,-9998,352,32,0,0,0,4,12,8,0,28,53,0,0,0
2019,2,9,23,16,-9998,12,-9998,127,-9998,340,377,73,102,0,0,0,45,0,12,4,0,0,4
2019,2,9,24,-9998,94,32,184,8,0,4,20,118,16,12,0,0,106,0,147,32,4,0,0
2019,2,10,1,8,57,237,291,0,16,12,0,-9998,-9998,4,16,0,151,0,250,266,0,0,0
2019,2,10,2,8,45,73,4,0,0,8,4,49,4,4,0,0,53,0,0,4,0,0,4
2019,2,10,3,16,-9998,0,0,0,0,4,0,0,0,0,0,0,204,4,0,0,0,0,0
2019,2,10,4,0,0,12,0,4,4,4,0,0,8,0,0,0,41,0,0,4,0,0,0
2019,2,10,5,0,0,12,0,12,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0
2019,2,10,6,0,0,8,0,0,0,0,4,0,0,0,0,0,4,12,0,4,0,0,0
2019,2,10,7,4,0,4,12,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
2019,2,10,8,4,4,8,8,0,0,4,0,4,0,0,0,0,4,0,0,0,4,0,8
2019,2,10,9,12,4,12,0,8,0,12,0,0,4,4,0,0,0,0,4,4,4,0,0
2019,2,10,10,0,8,16,12,4,0,8,0,4,4,0,0,0,0,8,4,4,4,0,4
2019,2,10,11,0,8,16,57,0,0,20,0,8,8,0,0,16,8,24,0,12,4,0,8
2019,2,10,12,0,4,12,4,4,0,8,0,0,8,0,8,0,12,20,0,4,12,0,4
2019,2,10,13,4,0,4,0,0,0,8,0,4,4,0,8,12,12,8,0,4,0,0,0
2019,2,10,14,4,4,0,0,0,4,8,0,0,12,0,4,4,8,0,8,0,0,4,8
2019,2,10,15,0,0,4,4,8,0,12,0,4,4,4,0,0,16,4,0,12,4,0,8
2019,2,10,16,0,4,4,4,4,0,12,0,4,8,0,4,4,4,4,0,16,16,0,20
2019,2,10,17,0,4,12,12,4,0,12,0,0,8,0,8,12,20,12,4,24,12,0,12
2019,2,10,18,4,0,0,4,0,0,4,8,4,8,8,4,8,28,20,8,12,0,0,36
2019,2,10,19,0,4,8,0,0,8,4,16,0,4,0,0,4,24,8,12,4,4,4,4
2019,2,10,20,4,4,0,12,0,4,0,8,8,8,0,4,8,32,8,8,16,4,0,8
2019,2,10,21,8,0,0,4,0,0,4,16,4,4,0,12,0,16,4,16,4,8,0,4
2019,2,10,22,0,8,0,4,0,0,0,16,0,4,12,4,12,12,16,0,24,0,0,12
2019,2,10,23,8,8,4,8,0,0,0,0,4,8,8,0,4,8,8,0,16,20,4,4
2019,2,10,24,4,4,8,4,0,0,0,20,4,0,4,4,8,4,0,0,24,4,0,0
2019,2,11,1,8,0,0,0,4,0,0,0,0,0,0,0,8,8,8,0,8,4,0,0
2019,2,11,2,4,8,4,4,0,0,8,12,12,0,0,0,16,0,8,0,8,0,0,0
2019,2,11,3,4,4,12,4,0,0,0,4,4,4,4,0,8,0,4,0,8,0,0,0
2019,2,11,4,0,4,8,0,4,0,0,8,0,4,4,0,4,4,12,0,4,8,4,4
2019,2,11,5,0,24,20,4,0,0,0,0,4,0,12,73,-9998,180,180,0,192,4,0,8
2019,2,11,6,0,0,12,4,0,0,0,12,0,4,4,-9998,-9998,-9998,-9998,0,180,12,4,8
2019,2,11,7,0,-9998,8,0,0,0,4,12,8,8,4,45,-9998,-9998,65,0,24,0,0,8
2019,2,11,8,16,0,4,0,8,0,12,8,4,28,8,8,8,336,65,0,28,36,4,0
2019,2,11,9,24,61,28,8,0,4,20,,12,0,0,-9998,-9998,-9998,-9998,0,36,188,0,0
2019,2,11,10,12,164,20,20,0,0,8,,4,4,16,12,16,-9998,147,8,24,28,0,12
2019,2,11,11,90,8,24,0,0,0,16,,0,4,4,0,0,28,8,8,16,0,0,8
2019,2,11,12,12,8,0,12,0,4,24,,4,4,4,4,16,0,0,4,16,12,0,0
2019,2,11,13,0,0,0,8,0,0,12,,0,20,12,4,0,4,4,8,24,4,0,8
