年,月,日,時,笠間市役所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2015,2,4,14,4,8,0,0,8,4,28,0,4,0,77,0,4,4,0,12,12,0
2015,2,4,15,8,4,8,0,24,0,28,8,0,8,24,8,4,12,16,49,8,0
2015,2,4,16,20,0,4,0,41,16,28,0,0,4,20,0,0,4,16,73,12,12
2015,2,4,17,16,4,4,0,16,0,36,0,12,4,4,0,0,8,0,65,8,28
2015,2,4,18,28,0,4,0,94,12,28,4,12,4,4,4,4,4,4,24,12,8
2015,2,4,19,16,16,12,12,102,12,16,16,16,8,4,4,8,0,8,45,12,8
2015,2,4,20,4,4,4,16,49,12,12,4,32,0,0,4,4,4,4,12,0,4
2015,2,4,21,16,4,4,4,16,8,12,8,24,0,0,8,8,12,0,8,8,0
2015,2,4,22,0,12,4,0,20,24,16,8,32,0,4,0,4,4,12,4,12,0
2015,2,4,23,16,4,0,16,24,12,8,8,8,0,8,4,0,4,4,4,0,4
2015,2,4,24,8,0,4,12,16,24,4,12,16,8,20,4,0,8,0,4,16,4
2015,2,5,1,8,0,4,12,16,20,0,0,28,0,8,0,4,4,0,4,4,16
2015,2,5,2,4,8,0,4,36,16,4,0,12,0,8,0,0,4,0,0,0,4
2015,2,5,3,0,4,4,4,20,4,0,4,16,0,4,4,0,4,4,0,4,8
2015,2,5,4,8,4,8,0,4,0,0,0,32,4,0,0,0,0,4,20,0,16
2015,2,5,5,0,0,4,0,4,4,0,0,4,0,4,0,0,8,12,0,4,4
2015,2,5,6,0,8,0,0,4,0,0,4,16,0,4,8,-9998,4,0,8,4,0
2015,2,5,7,4,0,0,0,8,0,0,4,20,0,0,0,0,8,0,4,0,0
2015,2,5,8,0,0,8,4,0,8,0,0,8,0,0,8,0,4,0,0,0,0
2015,2,5,9,8,8,0,0,16,0,0,-9998,0,4,0,0,-9998,-9998,-9998,-9998,-9998,-9998
2015,2,5,10,0,20,12,0,16,0,-9998,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,-9998
2015,2,5,11,-9998,0,4,0,90,0,-9998,-9998,-9998,-9998,-9998,4,-9998,-9998,-9998,-9998,-9998,-9998
2015,2,5,12,-9998,0,0,0,4,12,-9998,-9998,-9998,-9998,0,12,-9998,-9998,-9998,-9998,-9998,-9998
2015,2,5,13,-9998,-9998,0,0,-9998,16,-9998,-9998,-9998,-9998,0,0,-9998,-9998,-9998,-9998,0,-9998
2015,2,5,14,0,8,-9998,-9998,4,8,-9998,-9998,-9998,-9998,0,0,-9998,-9998,-9998,4,0,-9998
2015,2,5,15,-9998,0,-9998,-9998,0,8,-9998,-9998,0,-9998,0,0,0,-9998,-9998,0,0,-9998
2015,2,5,16,-9998,-9998,-9998,-9998,0,0,-9998,-9998,0,-9998,0,8,-9998,-9998,-9998,-9998,0,-9998
2015,2,5,17,-9998,-9998,0,0,4,0,-9998,-9998,0,-9998,-9998,-9998,-9998,-9998,4,-9998,-9998,-9998
2015,2,5,18,-9998,-9998,0,0,8,0,0,0,4,-9998,-9998,-9998,-9998,0,-9998,-9998,-9998,-9998
2015,2,5,19,-9998,-9998,0,0,0,0,-9998,0,0,0,-9998,-9998,0,0,0,4,0,0
2015,2,5,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,5,21,-9998,0,0,0,8,4,0,0,0,0,0,-9998,0,0,0,0,0,0
2015,2,5,22,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,2,5,23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2015,2,6,2,0,0,4,8,8,0,0,0,0,0,0,0,0,0,0,0,4,0
2015,2,6,3,0,0,0,16,12,0,0,4,0,4,0,0,0,0,0,0,0,0
2015,2,6,4,0,4,0,12,0,0,0,0,0,0,4,0,0,0,0,0,4,0
2015,2,6,5,4,0,0,16,0,0,4,0,0,4,0,4,0,0,0,0,12,0
2015,2,6,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,6,7,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,4,0,0
2015,2,6,8,0,4,0,32,4,0,0,0,12,0,8,0,0,16,0,4,4,0
2015,2,6,9,8,4,0,0,0,0,8,0,4,8,12,4,0,0,0,0,4,0
2015,2,6,10,0,4,4,0,12,0,0,4,4,0,8,0,8,0,4,36,8,0
2015,2,6,11,8,16,0,0,4,0,8,0,0,8,8,8,0,8,4,36,8,0
2015,2,6,12,0,8,0,0,4,0,16,0,0,4,4,24,0,4,0,28,8,0
2015,2,6,13,0,4,0,4,8,0,8,4,0,0,4,0,0,0,0,28,0,12
2015,2,6,14,4,118,0,4,12,0,8,0,4,0,20,8,4,0,4,32,4,0
2015,2,6,15,4,4,0,8,12,0,4,0,4,8,20,20,0,0,0,53,12,4
2015,2,6,16,0,20,0,4,4,8,4,0,0,8,4,16,0,8,0,20,12,20
2015,2,6,17,28,0,4,0,8,0,4,0,4,0,0,32,0,8,0,20,24,4
2015,2,6,18,4,0,0,0,12,0,12,0,0,0,16,20,8,20,8,20,41,12
2015,2,6,19,36,8,4,4,8,0,4,0,0,4,12,20,12,8,0,24,16,8
2015,2,6,20,20,16,0,0,0,0,12,0,0,16,0,8,8,24,8,8,16,0
2015,2,6,21,16,4,0,8,0,0,4,0,0,16,0,4,0,20,0,41,8,0
2015,2,6,22,0,0,0,0,0,0,8,4,4,0,0,24,0,0,4,12,8,4
2015,2,6,23,4,4,0,0,0,0,0,0,0,4,4,4,0,4,0,12,0,0
2015,2,6,24,8,0,0,0,0,4,4,0,0,0,8,12,0,4,0,12,28,0
2015,2,7,1,4,4,0,0,0,0,12,0,0,4,0,0,0,8,0,0,20,0
2015,2,7,2,4,0,4,0,0,0,4,0,0,0,0,0,0,8,0,12,16,4
2015,2,7,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,16,0
2015,2,7,4,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,8,4
2015,2,7,5,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0
2015,2,7,6,0,4,0,0,4,0,0,0,0,0,4,4,0,4,0,4,8,8
2015,2,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,4
2015,2,7,8,4,4,8,0,12,0,4,0,0,0,4,0,4,16,4,16,0,4
2015,2,7,9,8,16,4,0,32,4,0,4,20,4,4,0,0,16,8,41,12,4
2015,2,7,10,24,12,4,0,8,4,20,4,28,8,0,16,12,0,0,61,53,0
2015,2,7,11,4,0,12,0,4,0,28,4,4,12,36,16,0,0,4,16,16,12
2015,2,7,12,0,4,0,0,12,4,4,4,8,0,8,32,0,8,8,69,12,4
2015,2,7,13,4,4,0,4,16,4,4,0,4,4,8,0,8,4,0,16,20,12
2015,2,7,14,4,12,0,0,8,4,8,0,4,0,0,4,0,0,0,24,24,4
2015,2,7,15,8,16,4,0,16,8,4,8,0,4,0,4,0,0,12,57,20,4
2015,2,7,16,8,20,0,0,20,4,0,8,0,4,0,0,4,0,0,61,20,8
2015,2,7,17,4,0,8,4,36,28,12,8,4,0,0,0,0,4,8,24,4,32
2015,2,7,18,20,8,8,4,41,8,0,12,0,0,4,0,4,12,4,12,8,0
2015,2,7,19,16,12,8,4,233,16,4,4,28,8,0,12,8,8,4,4,0,4
2015,2,7,20,24,4,4,0,57,12,8,0,4,4,4,4,8,0,0,0,0,4
2015,2,7,21,4,0,8,0,28,4,4,4,8,0,0,4,0,0,0,16,0,4
2015,2,7,22,4,4,8,0,24,16,8,4,8,0,4,0,0,8,4,16,8,4
2015,2,7,23,-9998,4,0,4,32,8,4,0,12,0,4,4,0,0,8,0,16,4
2015,2,7,24,-9998,8,0,0,32,4,4,0,8,0,4,0,0,4,4,0,32,0
2015,2,8,1,0,0,0,0,8,0,4,4,0,0,0,0,0,0,4,0,4,0
2015,2,8,2,0,4,4,0,8,12,4,0,0,0,0,0,0,0,0,0,0,4
